,VIX,MXEU_vol_ratio,neg_thresh_2.5sd_26w_pct,DXY_roc_26w,LMBITR_logret_12w,DXY_logret_26w,MXRU_st_lt_divergence,MXCN_st_lt_divergence,DXY_vol_ratio,GTITL2YR_diff_12w,LF94TRUU_st_lt_divergence,neg_thresh_2.5sd_26w_count,US0001M_logret_accel_4w,neg_thresh_2.0sd_12w_pct,CRY,neg_thresh_2.5sd_12w_count,neg_thresh_1.5sd_12w_count,neg_thresh_1.5sd_12w_pct,GT10_vol_ratio,GTITL2YR_diff_26w,EMUSTRUU_st_lt_divergence,LUMSTRUU_logret_12w,LUMSTRUU_st_lt_divergence,GTITL2YR_diff_accel_4w,LUACTRUU_st_lt_divergence,pos_thresh_2.0sd_26w_count,Cl1_vol_ratio,yield_dispersion_4w,DXY_logret_12w,MXBR_vol_ratio,Y,pre_crisis
2000-01-11,22.5,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,157.26,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-12,22.357142857142858,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,158.36714285714285,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-13,22.214285714285715,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,159.4742857142857,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-14,22.071428571428573,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,160.58142857142855,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-15,21.928571428571427,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,161.6885714285714,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-16,21.785714285714285,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,162.79571428571427,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-17,21.642857142857142,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,163.90285714285713,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-18,21.5,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,165.01,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-19,21.717142857142857,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,165.32857142857142,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-20,21.93428571428571,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,165.64714285714285,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-21,22.15142857142857,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,165.96571428571428,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-22,22.36857142857143,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,166.28428571428572,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-23,22.585714285714285,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,166.60285714285715,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
2000-01-24,22.802857142857142,0.7910637802776923,0.0,-0.5656251604165449,0.0130997453174371,-0.0057084326230751,0.0046498063306934,0.004698017799791,0.8635192905615394,-0.0471428571428571,-0.0002899032919975,0.0,0.0,0.0,166.92142857142858,0.0,0.0,0.0,0.8592875262511861,-0.1261428571428574,0.0005415011842466,0.009980429410231,-0.0007752566695228,0.0024285714285717,0.0002354245737383,0.0,0.8294396256016515,0.0753549036535282,-0.0008424443639149,0.8159199518433452,0,0
